identifier,entityName,attributeName,attributeLabel,attributeDefinition,attributeUnit,propertyURI,valueURI,viewURL,query_datetime_utc,,MEASUREMENT_METHOD,NOTES
doi:10.5063/F1NV9GHW,ASL_formatted_LowerCookInlet.csv,Length.Measurement.Type,NA,Type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1NV9GHW,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F1PR7T8D,ASL_formatted_PrinceWilliamSoundpinks.csv,Length,NA,length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1PR7T8D,2020-10-09T15:30:35Z,,ANNOTATE: mid-eye to fork of tail,1 measurement type
doi:10.5063/F1PR7T8D,ASL_formatted_PrinceWilliamSoundpinks.csv,Length.Measurement.Type,NA,type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1PR7T8D,2020-10-09T15:30:35Z,,TYPE: mid-eye to fork of tail,1 measurement type
doi:10.5063/F1SJ1HWB,ASL_formatted_SoutheastKodiak.csv,Length Measurement Type,NA,type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1SJ1HWB,2020-10-09T15:30:35Z,,unknown,"data not available for download; info in abstract (""generally from mid-eye to the fork of the tail"")"
doi:10.5063/F1SJ1HWB,ASL_formatted_SoutheastKodiak.csv,Length,NA,length of fish,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1SJ1HWB,2020-10-09T15:30:35Z,,unknown,"data not available for download; info in abstract (""generally from mid-eye to the fork of the tail"")"
doi:10.5063/F1SJ1HWB,ASL_DATA_EXPORT.csv,LENGTH_TYPE,Length Measurement Type,The type of length measurement,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1SJ1HWB,2020-10-09T15:30:35Z,,unknown,"data not available for download; info in abstract (""generally from mid-eye to the fork of the tail"")"
doi:10.5063/F1SJ1HWB,ASL_DATA_EXPORT.csv,LENGTH_MM,Fish Length,Length of fish in millimeters,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1SJ1HWB,2020-10-09T15:30:35Z,,unknown,"data not available for download; info in abstract (""generally from mid-eye to the fork of the tail"")"
doi:10.5063/F1W957GP,ASL_bristol_bay_full.csv,Length,NA,length of fish in millimeters,millimeter,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F1W957GP,ASL_bristol_bay_full.csv,Length.Measurement.Type,NA,method used to measure fish length,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types
doi:10.5063/F1W957GP,2010.csv,length,NA,length in millimeters,dimensionless,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2010.csv,length_type,NA,length type,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,3 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2011.csv,length,NA,length in millimeters,dimensionless,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,4 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2011.csv,length_type,NA,length type,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,4 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2012.csv,length,NA,length in millimeters,dimensionless,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,2 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2012.csv,length_type,NA,length type,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,2 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2013.csv,length,NA,length in millimeters,dimensionless,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,2 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2013.csv,length_type,NA,length type,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,2 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2014.csv,length,NA,length in millimeters,dimensionless,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,2 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2014.csv,length_type,NA,length type,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,tidy measurements,2 measurement types (numeric codes?)
doi:10.5063/F1W957GP,2015.csv,length,NA,length in millimeters,dimensionless,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,unknown,only NAs
doi:10.5063/F1W957GP,2015.csv,length_type,NA,length type,NA,NA,NA,https://search.dataone.org/view/doi:10.5063/F1W957GP,2020-10-09T15:30:35Z,,unknown,only NAs
