sites_lower,n
"covenant life, southeast, alaska",5
"crescent river, cook inlet, alaska",5
"diamond ridge, cook inlet, alaska",5
"dot lake village, yukon, alaska",5
"eldorado river, norton sound, alaska",5
"eureka roadhouse, copper river, alaska",5
"fox river, cook inlet, alaska",5
"game creek, southeast, alaska",5
"glacial lake, norton sound, alaska",5
"goodnews river (middle fork), kuskokwim, alaska",5
"hugh smith lake, southeast, alaska",5
"ilnik river, alaska peninsula and aleutian islands, alaska",5
"judd lake, cook inlet, alaska",5
"kalifornsky, cook inlet, alaska",5
"kuskokwim river, kuskokwim, alaska",5
"kwiniuk river, norton sound, alaska",5
"lazy mountain, cook inlet, alaska",5
"lowell point, cook inlet, alaska",5
"lutak, southeast, alaska",5
"mud bay, southeast, alaska",5
"niukluk river, norton sound, alaska",5
"nome river, norton sound, alaska",5
"northway junction, yukon, alaska",5
"nulato river, yukon, alaska",5
"petersville, cook inlet, alaska",5
"point mackenzie, cook inlet, alaska",5
"salamatof, cook inlet, alaska",5
"sandy river, alaska peninsula and aleutian islands, alaska",5
"seldovia village, cook inlet, alaska",5
"shaktoolik river, norton sound, alaska",5
"solomon river, norton sound, alaska",5
"tanaina, cook inlet, alaska",5
"whitestone logging camp, southeast, alaska",5
"womens bay, kodiak, alaska",5
"alagnak river, bristol bay, alaska",4
"aleneva, kodiak, alaska",4
"andreafsky river (east fork), yukon, alaska",4
"andrew creek, southeast, alaska",4
"annette, southeast, alaska",4
"deadhorse, arctic, alaska",4
"delta clearwater river, yukon, alaska",4
"delta river, yukon, alaska",4
"dora bay, southeast, alaska",4
"jakolof bay, cook inlet, alaska",4
"king salmon river, southeast, alaska",4
"kisaralik river, kuskokwim, alaska",4
"kupreanof, southeast, alaska",4
"long island, southeast, alaska",4
"lost river, southeast, alaska",4
"new allakaket, yukon, alaska",4
"red dog mine, kotzebue, alaska",4
"salmon river (aniak), kuskokwim, alaska",4
"salmon river, kotzebue, alaska",4
"squirrel river, kotzebue, alaska",4
"stikine river, southeast, alaska",4
"tanana river, yukon, alaska",4
"unalakleet river, norton sound, alaska",4
"unuk river, southeast, alaska",4
"upper station, kodiak, alaska",4
"yentna river, cook inlet, alaska",4
"adak, ak",3
"afognak river, kodiak, alaska",3
"aialik lake, cook inlet, alaska",3
"akhiok, ak",3
"akiachak, ak",3
"alakanuk, ak",3
"aleknagik, ak",3
all sasap regions in alaska and bordering portions of canada,3
"anacortes, wa",3
"anchor point, ak",3
"anchorage, ak",3
"anderson, ak",3
"angoon, ak",3
"aniak, ak",3
"anvik, ak",3
"atmautluak, ak",3
"auke bay, ak",3
"barton creek, yukon, alaska",3
"bear river, alaska peninsula and aleutian islands, alaska",3
"bellingham, wa",3
"bend, or",3
"berners river, southeast, alaska",3
"bethel, ak",3
"big lake, ak",3
"billy's hole, prince william sound, alaska",3
"blaine, wa",3
"blossom river, southeast, alaska",3
"boise, id",3
"canby, or",3
"chefornak, ak",3
"chehalis, wa",3
"chenik lake, cook inlet, alaska",3
"chickamin river, southeast, alaska",3
"chignik lagoon, ak",3
"chignik lake, ak",3
"chignik, ak",3
"chilkoot river, southeast, alaska",3
"chitina, ak",3
"chuathbaluk, ak",3
"chugiak, ak",3
"clam gulch, ak",3
"clarks point, ak",3
"clear creek (tributary hogatza river), yukon, alaska",3
"coffman cove, ak",3
"coghill district, prince william sound, alaska",3
"colville, wa",3
"copper center, ak",3
"copper river, copper river, alaska",3
"cordova, ak",3
"craig, ak",3
"deering, ak",3
"delight lake, cook inlet, alaska",3
"delta junction, ak",3
"deming, wa",3
"desire lake, cook inlet, alaska",3
"dillingham, ak",3
"dog salmon creek, kodiak, alaska",3
"douglas, ak",3
"durango, co",3
"dutch harbor, ak",3
"eagle river, ak",3
"eagle sonar (yukon/canadian border), yukon, alaska",3
"east alsek river, southeast, alaska",3
"edna bay, ak",3
"eek, ak",3
"egegik, ak",3
"ekwok, ak",3
"elfin cove, ak",3
"emmonak, ak",3
"english bay, cook inlet, alaska",3
"enumclaw, wa",3
"eshamy lake, prince william sound, alaska",3
"eugene, or",3
"everett, wa",3
"fairbanks, ak",3
"falls creek, alaska",3
"ferndale, wa",3
"fish river, norton sound, alaska",3
"fritz creek, ak",3
"gakona, ak",3
"galena, ak",3
"gig harbor, wa",3
"girdwood, ak",3
"glennallen, ak",3
"goodpaster river, yukon, alaska",3
"gustavus, ak",3
"haines, ak",3
"hammond, or",3
"henshaw creek, yukon, alaska",3
"homer, ak",3
"hoonah, ak",3
"hyder, ak",3
"igiugig, ak",3
"iliamna, ak",3
"italio river, southeast, alaska",3
"jackpot creek, prince william sound, alaska",3
"juneau, ak",3
"kake, ak",3
"kalispell, mt",3
"kalskag, ak",3
"kaltag, ak",3
"karluk, ak",3
"kasigluk, ak",3
"kasilof, ak",3
"keizer, or",3
"kenai, ak",3
"keta river, southeast, alaska",3
"ketchikan, ak",3
"kiana, ak",3
"king cove, ak",3
"king salmon, ak",3
"kipnuk, ak",3
"klawock river, southeast, alaska",3
"klawock, ak",3
"kodiak, ak",3
"kokhanok, ak",3
"koliganek, ak",3
"kongiganak, ak",3
"kotlik, ak",3
"kotzebue, ak",3
"koyukuk, ak",3
"kwigillingok, ak",3
"larsen bay, ak",3
"levelock, ak",3
"little kitoi, kodiak, alaska",3
"manokotak, ak",3
"maple falls, wa",3
"marshall, ak",3
"mclees lake, alaska peninsula and aleutian islands, alaska",3
"mcneil river, cook inlet, alaska",3
"mekoryuk, ak",3
"melozitna river, yukon, alaska",3
"metlakatla, ak",3
"meyers chuck, ak",3
"missoula, mt",3
"moose pass, ak",3
"mountain village, ak",3
"naknek, ak",3
"napakiak, ak",3
"napaskiak, ak",3
"nelson lagoon, ak",3
"new stuyahok, ak",3
"newtok, ak",3
"nightmute, ak",3
"nikiski, ak",3
"nikolaevsk, ak",3
"nine mile falls, wa",3
"ninilchik, ak",3
"nome, ak",3
"noorvik, ak",3
"north pole, ak",3
"nunapitchuk, ak",3
"old harbor, ak",3
"ouzinkie, ak",3
"packers creek, cook inlet, alaska",3
"palmer, ak",3
"pedro bay, ak",3
"pelican, ak",3
"perryville, ak",3
"petersburg, ak",3
"phoenix, az",3
"pilot point, ak",3
"pilot station, ak",3
"platinum, ak",3
"point baker, ak",3
"port alexander, ak",3
"port alsworth, ak",3
"port graham, ak",3
"port heiden, ak",3
"port lions, ak",3
"port orchard, wa",3
"quinhagak, ak",3
"reardan, wa",3
"redoubt lake, southeast, alaska",3
"russian mission, ak",3
"saint marys, ak",3
"saltery creek, kodiak, alaska",3
"san diego, ca",3
"sand point, ak",3
"scammon bay, ak",3
"seaside, or",3
"seattle, wa",3
"selawik, ak",3
"seldovia, ak",3
"seward, ak",3
"shoreline, wa",3
"shrode creek, prince william sound, alaska",3
"siletz, or",3
"silverton, or",3
"sinuk river, norton sound, alaska",3
"sitka, ak",3
"skagway, ak",3
"snake river, bristol bay, alaska",3
"snake river, norton sound, alaska",3
"snohomish, wa",3
"soldotna, ak",3
"south bend, wa",3
"south naknek, ak",3
"speel river, southeast, alaska",3
"sterling, ak",3
"sutton, ak",3
"takotna river, kuskokwim, alaska",3
"taku river, southeast, alaska",3
"talkeetna, ak",3
"tanana, ak",3
"tatlawiksuk river, kuskokwim, alaska",3
"telaquana river, kuskokwim, alaska",3
"thorne bay, ak",3
"togiak, ak",3
"tok, ak",3
"toksook bay, ak",3
"tozitna river, yukon, alaska",3
"tucson, az",3
"tuluksak, ak",3
"tuntutuliak, ak",3
"tununak, ak",3
"twin hills, ak",3
"uganik river, kodiak, alaska",3
"unalaska, ak",3
"valdez, ak",3
"vancouver, wa",3
"vashon, wa",3
"ward cove, ak",3
"wasilla, ak",3
"westport, wa",3
"whittier, ak",3
"willow, ak",3
"woodinville, wa",3
"wrangell, ak",3
"yakutat, ak",3
"yelm, wa",3
"17 mi(chilkat)115-32, southeast, alaska",2
"31 mi(klehini)115-32, southeast, alaska",2
"6.5 mile cr 221-60, prince william sound, alaska",2
"abercrombie lk 259-10, kodiak, alaska",2
"aberdeen, wa",2
"afognak lk 252-34, kodiak, alaska",2
"ahrnklin r 182-70, southeast, alaska",2
"akalura lake, kodiak, alaska",2
"akiak, ak",2
"akutan, ak",2
"akwe r 182-40, southeast, alaska",2
"akwe river, southeast, alaska",2
"albany, or",2
"albuquerque, nm",2
"alcan, yukon, alaska",2
"alderwood manor, wa",2
"alexander creek, ak",2
"alsek r 182-30, southeast, alaska",2
"alsek river, southeast, alaska",2
"amalga harbor 111-50, southeast, alaska",2
"ambler, ak",2
"amchitka, alaska peninsula and aleutian islands, alaska",2
"american fork, ut",2
"american r 259-23, kodiak, alaska",2
"american river, norton sound, alaska",2
"anderson bay 221-60, prince william sound, alaska",2
"anderson lk 247-50, cook inlet, alaska",2
"andreafsky river, yukon, alaska",2
"andrew cr 108-40, southeast, alaska",2
"angwin, ca",2
"anita bay 107-30, southeast, alaska",2
"annette bay cr 101-41, southeast, alaska",2
"annette inn cr 101-25, southeast, alaska",2
"annette, ak",2
"antioch, ca",2
"anton larson bay 259-32, kodiak, alaska",2
"anvik river, alaska",2
"anvil cr 333-10, norton sound, alaska",2
"appleton cr 113-54, southeast, alaska",2
"arcata, ca",2
"arlington, wa",2
"arroyo grande, ca",2
"asheville, nc",2
"ashland, or",2
"asotin, wa",2
"astoria, or",2
"atka, ak",2
"auburn, wa",2
"auke bay 111-50, southeast, alaska",2
"auke cr 111-50, southeast, alaska",2
"auke lk 111-50, southeast, alaska",2
"aurora, or",2
"b waterfall lk 251-82 (b), kodiak, alaska",2
"badger lk 101-55, southeast, alaska",2
"bainbridge island, wa",2
"bainbridge, wa",2
"baker city, or",2
"bakewell lk 101-55, southeast, alaska",2
"bandon, or",2
"banner lk 109-10, southeast, alaska",2
"barnes lk 108-40, southeast, alaska",2
"barry lk, kodiak, alaska",2
"battle ground, wa",2
"bay center, wa",2
"bay point, ca",2
"bear cove 113-41, southeast, alaska",2
"bear cove+halibut pt113, southeast, alaska",2
"bear cr 231-30, cook inlet, alaska",2
"bear lk 231-30, cook inlet, alaska",2
"beaverton, or",2
"bell island 101-80, southeast, alaska",2
"belle fourche, sd",2
"bellevue, wa",2
"bench cr 247-60, cook inlet, alaska",2
"berners r 115-20, southeast, alaska",2
"big (lilly) lk, kodiak, alaska",2
"big bay creek, kodiak, alaska",2
"big boulder cr115-32, southeast, alaska",2
"big kitoi cr 252-31, kodiak, alaska",2
"big kitoi creek, kodiak, alaska",2
"big lk 259-21 (b), kodiak, alaska",2
"big lk system 247-50, cook inlet, alaska",2
"big salt 103-60, southeast, alaska",2
"billings, mt",2
"bird cr 247-60, cook inlet, alaska",2
"black bear creek, southeast, alaska",2
"black lake, chignik, alaska",2
"blanchard lk 109-10, southeast, alaska",2
"blodgett lk 247-50, cook inlet, alaska",2
"boat harbor 115-10, southeast, alaska",2
"bold is lk 101-41, southeast, alaska",2
"bonners ferry, id",2
"boring, or",2
"bothell, wa",2
"boulder bay 221-50, prince william sound, alaska",2
"boulder cr 333-10, norton sound, alaska",2
"boulder, co",2
"bow, wa",2
"box canyon cr 231-30, cook inlet, alaska",2
"bozeman, mt",2
"bremerton, wa",2
"brennan lk 102-40, southeast, alaska",2
"brevig mission, ak",2
"broadus, mt",2
"brookings, or",2
"bruin lk 249-70 (b), cook inlet, alaska",2
"brush prairie, wa",2
"bryce cr 101-15, southeast, alaska",2
"buckland, ak",2
"buckley, wa",2
"burlington, wa",2
"burnett inlet 106-22, southeast, alaska",2
"burro cr 115-34, southeast, alaska",2
"burton, wa",2
"buskin lk 259-21, kodiak, alaska",2
"buskin r 259-21, kodiak, alaska",2
"butterfly lk 247-41, cook inlet, alaska",2
"cable cr 103-60, southeast, alaska",2
"caldwell, id",2
"campbell cr 101-25, southeast, alaska",2
"campbell cr 247-60, cook inlet, alaska",2
"campbell+ship cr 247, cook inlet, alaska",2
"cannery cr 222-50, prince william sound, alaska",2
"cannon beach, or",2
"canoe cove cr 101-25, southeast, alaska",2
"caribou lk 241-14, cook inlet, alaska",2
"carmel valley, ca",2
"carnation, wa",2
"carroll inlet 101-45, southeast, alaska",2
"carroll r 101-45, southeast, alaska",2
"cascade cr 101-41, southeast, alaska",2
"cascade creek, alaska",2
"cascade locks, or",2
"castle rock, wa",2
"caswell cr 247-41, cook inlet, alaska",2
"cathead cr 226-20, prince william sound, alaska",2
"catherine lk 259-21, kodiak, alaska",2
"cathlamet, wa",2
"chandler, az",2
"charleston, or",2
"chatanika river, yukon, alaska",2
"chelatna lk 247-41, cook inlet, alaska",2
"chena river, alaska",2
"chenega bay 226-40, prince william sound, alaska",2
"chenega bay, ak",2
"chenik lk 243-30, cook inlet, alaska",2
"chesapeake, va",2
"chester bay 101-27, southeast, alaska",2
"chester cr 247-50, cook inlet, alaska",2
"chestertown, md",2
"chevak, ak",2
"chevy chase, md",2
"chickamin r 101-71, southeast, alaska",2
"chicken, ak",2
"chico, ca",2
"chilkat arprt pnds 115-32, southeast, alaska",2
"chilkat lk 115-32, southeast, alaska",2
"chilkat ponds 115-32, southeast, alaska",2
"chilkat r 115-32, southeast, alaska",2
"chilkat upper pnds 115-32, southeast, alaska",2
"chilkoot lk 115-33, southeast, alaska",2
"chimacum, wa",2
"chiniak lk 259-25, kodiak, alaska",2
"chiniak, ak",2
"chinook, wa",2
"chistochina r 212-20, copper river, alaska",2
"chuck cr 103-80, southeast, alaska",2
"chulitna river, yukon, alaska",2
"circle hot springs station, yukon, alaska",2
"city cr 108-60, southeast, alaska",2
"clackamas, or",2
"clark, co",2
"clarkston, wa",2
"clatskanie, or",2
"clear cr 334-40, yukon, alaska",2
"cliff lk 109-10, southeast, alaska",2
"clinton, wa",2
"coal cr 244-30, cook inlet, alaska",2
"coffman cove 106-30, southeast, alaska",2
"coghill lk 223-30, prince william sound, alaska",2
"coghill r 223-30, prince william sound, alaska",2
"cohoe, ak",2
"colby cr 101-25, southeast, alaska",2
"cold bay, ak",2
"college place, wa",2
"college, ak",2
"concord, ca",2
"conway, wa",2
"cook, wa",2
"cooper landing, ak",2
"cooper lk 244-30 (b), cook inlet, alaska",2
"coos bay, or",2
"copalis beach, wa",2
"copper r 212-20, copper river, alaska",2
"coquille, or",2
"corbett, or",2
"cornelius lk 247-50, cook inlet, alaska",2
"corvallis, or",2
"cottonwood cr 247-50, cook inlet, alaska",2
"cottonwood lk syst, cook inlet, alaska",2
"cottonwood+kings lk, cook inlet, alaska",2
"council, ak",2
"coupeville, wa",2
"cove cr 224-10, prince william sound, alaska",2
"cowee cr 115-20, southeast, alaska",2
"crab bay 103-60, southeast, alaska",2
"crawfish inlet 113-33, southeast, alaska",2
"crawfish inlet+halibut pt, southeast, alaska",2
"crescent bay 113-41, southeast, alaska",2
"crescent lake, southeast, alaska",2
"crescent lk 111-35, southeast, alaska",2
"crescent lk 252-36 (b), kodiak, alaska",2
"cripple creek, southeast, alaska",2
"crooked cr 221-60, prince william sound, alaska",2
"crooked cr 244-30, cook inlet, alaska",2
"crooked creek, ak",2
"crosswind lk 212-20, copper river, alaska",2
"cryst+salm+sheep+men, southeast, alaska",2
"crystal cr 106-44, southeast, alaska",2
"crystal lk (jnu), southeast, alaska",2
"crystal+ohmer+falls, southeast, alaska",2
"culross lk 224-30 (b), prince william sound, alaska",2
"cushing, mn",2
"custer, wa",2
"dallas, or",2
