"identifier","abstract","keywords","title","project","attribute"
"doi:10.5063/F1TD9VN9","Participants in Alaska commercial fisheries are required to report the statistical area where their harvest occurs. In combination with reports on the harvest species, poundage and etc., these data are useful to analyze and visualize spatial patterns in harvest. This data set defines the current valid statistical areas that may be used on ADF&G fish tickets for salmon and miscellaneous finfish. This data set should NOT be used for navigation or for determining compliance with ADF&G Commercial Fishing Regulations. Please consult the ADF&G Commercial Fisheries Regulations for the official definitions of regulatory boundaries.
 
NOTE: These data attempt to depict statistical area boundaries as used for management during a specific time period. In some cases, statistical area boundaries used in practice may differ from those described in regulations, reports, maps, and other aids.

Up to date published layers and historical areas can be found on Commercial Fishing GIS Data Downloads section on the ADF&G website (http://www.adfg.alaska.gov/index.cfm?adfg=maps.commercial_fishing_gis). 

This project received funding under award NA15NMF4270272 from NOAA Fisheries Service, in cooperation with the Saltonstall-Kennedy Grant Program.","commercial fishing featured","Alaskan commercial salmon fishing statistical areas, 2017","State of Alaska's Salmon and People",NA
"doi:10.5063/F1X63K76","Brood tables, also called run reconstructions, utilize annual estimates of the total run (commercial catch plus escapement), and samples of ages, to estimate the number of recruits per age class. These data are useful for salmon biologists to understand salmon productivity and salmon life histories. Archived here are the original PDF from which the data were extracted, the original .csv file with this extracted data, an R script that slightly reformats the dataset into a format consistent with other brood tables collected as part of the State of Alaskan Salmon and People project (https://alaskasalmonandpeople.org/), and the reformatted table as a .csv file. Age classes are given in European Notation, where the first number is the number of winters spent in freshwater before going to sea (1 winter in freshwater = age-1.X), and the second number is the number of winters spent at sea (3 winters at sea = age-X.3).","brood table","Coho salmon brood table, Kuskokwim River, Alaska, 2000-2012","State of Alaska's Salmon and People","Stock.ID  Unique stock identifer UseFlag  Indicates if data should be used in analysis BroodYear  Brood year TotalEscapement  Total escapement value number R1.1  number of age 1.1 recruits number R1.2  number of age 1.2 recruits number R2.1  number of age 2.1 recruits number R2.2  number of age 2.2 recruits number R3.1  number of age 3.1 recruits number R3.2  number of age 3.2 recruits number R4.1  number of age 4.1 recruits number year  Brood year Escapement  Total escapement value number 1.1  number of age 1.1 recruits number 1.2  number of age 1.2 recruits number 2.1  number of age 2.1 recruits number 2.2  number of age 2.2 recruits number 3.1  number of age 3.1 recruits number 3.2  number of age 3.2 recruits number 4.1  number of age 4.1 recruits number Recruits  total number of recruits number spawner  number of recruits per spawner number"
"doi:10.5063/F1PN93XZ","The two data files in this package detail monthly Alaskan fishing employee count data. 'AKAvgMonthlyReg_Long.csv' contains employee count data spanning 2000-2016 and is region-specific, while 'AKAvgMonthlySpec_Long.csv' spans 2003-2016 and counts employees by fish species industry (i.e. the species of fish their work involves). Using Tabula, 'AKAvgMonthlyReg_Long.csv' was extracted from http://live.laborstats.alaska.gov/seafood/statewide/AKAvgMonthlyReg.pdf and 'AKAvgMonthlySpec_Long.csv' was extracted from http://live.laborstats.alaska.gov/seafood/statewide/AKAvgMonthlySpec.pdf. The R script ""reformat.R"" tidies up these two datasets and reformats them into long-form.","economic featured well being","Alaskan fishing industry employee counts by month, grouped by region and fish species from 2000-2016","State of Alaska's Salmon and People","Region  Name of region Year  Year of observation Month  Month of observation - numeric representation (e.g. January = 1, December = 12) Count  Number of workers recorded dimensionless Species  Type of fish industry that workers are employed through"
"doi:10.5063/F19C6VQ2","Marcus Gho and Craig Farrington analyzed changes in the distribution of Alaska’s permanent permit holders in Alaska's limited entry fisheries in their report ""Changes in the Distribution of Alaska's Commercial Fisheries Entry Permits, 1975 – 2015"" (M. Gho And C. Farrington. 2016. CFEC Report 16-3N, Changes in the Distribution of Alaska's Commercial Fisheries Entry Permits, 1975 – 2015). Drafters of the Limited Entry Act in Alaska were concerned that permits would not be easily accessible for younger Alaskans, and this report was produced so that concerned parties can be properly informed.  These data are from 1975-2015 and represent the 65 commercial fisheries that were issued permanent limited entry permits: 26 salmon fisheries, 19 herring fisheries, 9 crab fisheries, 5 sablefish fisheries, 3 shrimp fisheries, and 3 dive fisheries(sea urchin, sea cucumber, geoduck).  The report includes information on residential types of permit transfers, distribution of permit holders, and the age of permit holders and recipients. Here, we include 5 data tables from chapter four and two tables from chapter three of the report that are made publicly available on the Commercial Fishery Entry Commission webpage here: https://www.cfec.state.ak.us/RESEARCH/16-3N/16-3N.htm. Data tables were reformatted so that separate tables with titles were merged into a single table, with an added column containing the information in the title. Otherwise the tables remain unchanged.  These data tables include contain information pertaining to the age differences between permit transferors and recipients by fishery, residential type of these transferors and recipients, age distribution of residential situation, and distribution of residential types of permit holders.  The attached documents are Marcus Gho's and Craig Farrington's ""Changes in the Distribution of Alaska's Commercial Fisheries Entry Permits"" research paper and their ""Executive Summary"" of their findings, respectively.","commercial fishing featured","Changes in the distribution of Alaska's Commercial Fisheries Entry Permits","State of Alaska's Salmon and People","Year  Year measurements were taken TransferablePermits  number of transferable permits (excluding forclosed permits) number MeanAge  mean age of all permit holders nominalYear NumTransfers  number of transfers number TransferorMeanAge  mean age of transferors nominalYear RecipientMeanAge  mean age of transfer recipient nominalYear MeanAgeDifference  mean age difference between trasferor and transfer recipient nominalYear NumPermits  number of transferable permits excluding forclosed permits number MeanAge  mean age of all permit holders in the fishery nominalYear MeanAgeofTransferors  mean age of the transferor nominalYear MeanAgeofRecipients  mean age of the transfer recipient nominalYear Difference  mean age difference between transferor and transfer recipient nominalYear Group  name of fishery Year  year measurements were taken TransferablePermitsCount  number of transferable permits number TransferablePermitsMean Age  mean age of transferable permit holders nominalYear TransferorsCount  number of transferors from resident type number TransferorsMeanAge  mean age of all transferors nominalYear RecipientsCount  number of recipients from resident type number RecipientsMean Age  mean age of transfer recipients nominalYear Group  resident type Year  year of study 0-20count  permit holders younger than 21 number 0-20%  % of permits held by holders younger than 21 dimensionless 21-30count  permit holders between 21-30 number 21-30%  % of permits held by holders between age 21-30 dimensionless 31-40count  permit holders between the age of 31-40 number 31-40%  % of permit holders between the age of 31-40 dimensionless 41-50count  permit holders between the age of 41-50 number 41-50%  % of permit holders between the age of 41-50 dimensionless 51-60count  permit holders between the age of 51-60 number 51-60%  % of permits holders between the age of 51-60 dimensionless 61+count  permit holders older than 60 number 61+%  % of permits held by holders older than 60 dimensionless Total  total number of permit holders from that resident type number AllTransferablePermitsNo.  number of transferable permits number AllTransferablePermitsAge  age of transferable permit holders number AlaskaRuralLocalNo.  number of transferable permits held by Alaskan Rural Locals number AlaskaRuralLocalAge  mean age of Alaskan Rural Local transferable permit holders number AlaskaRuralNonlocalNo.  number of transferable permits held by Alaskan Rural Nonlocals number AlaskaRuralNonlocalAge  mean age of Alaskan Rural Nonlocal transferable permit holders number AlaskaUrbanLocalNo.  number of transferable permits held by Alaskan Urban Locals number AlaskaUrbanLocalAge  mean age of Alaskan Urban Local transferable permit holders number AlaskaUrbanNonlocalNo.  number of transferable permits held by Alaskan Urban Nonlocals number AlaskaUrbanNonlocalAge  mean age of Alaska Urban Nonlocal transferable permit holders number NonresidentNo.  number of transferable permits held by Nonresidents number NonresidentAge  mean age of Nonresident transferable permit holders number Group  observed fishery Fishery  name of fishery DCCED/CFAB  Department of Commerce, Community and Economic Development Division of Investments, Commercial Fishing and Agriculture Bank Transfer_DCCED/CFAB  Department of Commerce, Community and Economic Development Division of Investments, Commercial Fishing and Agriculture Bank FisheryCode  CFEC code for fishery YearIssued  Year or year range for which permits were first issued in fishery AlaskaRuralLocal  Number of permits issued to Alaska rural local residents number AlaskaRuralNonlocal  Number of permits issued to Alaska rural non-local residents number AlaskaUrbanLocal  Number of permits issued to Alaska urban local residents number AlaskaUrbanNonlocal  Number of permits issued to Alaska urban non-local residents number NonResident  Number of permits issued to non Alaska residents number Transfer_AlakaRuralLocal  Number of transferrable permits issued to Alaska rural local residents number Transfer_AlaskaRuralNonlocal  Number of transferrable permits issued to Alaska rural non-local residents number Transfer_AlaskaUrbanLocal  Number of transferrable permits issued to Alaska urban local residents number Transfer_AlaskaUrbanNonlocal  Number of transferrable permits issued to Alaska urban non-local residents number Trasfer_NonResident  Number of transferrable permits issued to non Alaska residents number AlaskaTotal  Total number of permits issued to Alaska residents number GrandTotal  Total number of permits issued number Year Year Year the permit was issued Area Area Area the permit was issued PermitType Permit Type Permit type issued FSHY CFEC Fishery Code CFEC code for fishery, the individual code is for the permit type by area Transaction Transaction Type of permit transaction Alaska.Rural.Local Alaska Rural Local Number of permits held by Alaskan Rural Locals dimensionless Alaska.Rural.Nonlocal Alaska Rural Nonlocal Number of permits held by Alaskan Rural Nonlocals dimensionless Alaska.Urban.Local Alaska Urban Local Number of permits held by Alaskan Urban Locals dimensionless Alaska.Urban.Nonlocal Alaska Urban Nonlocal Number of permits held by Alaskan Urban Nonlocals dimensionless Non.resident Non Resident Number of permits held by Nonresidents dimensionless DCCED.CFAB DCCED / CFAB Department of Commerce, Community and Economic Development Division of Investments, Commercial Fishing and Agriculture Bank dimensionless Total Total Permit Holders Total number of permit holders from that resident type dimensionless"
"doi:10.5063/F1KP80FG","The following is a table listing all of the people who served on the Alaska Board of Fisheries Members from 1975-2017. The Board consists of seven members serving three-year terms and its main role is to conserve and develop the fishery resources of the state. Members are appointed by the governor, and then then must be approved by the legislature. The board provides a local forum for regional opinions on fish and game issues, facilitates resource allocation, and makes regulatory changes. The original source of these data is the Alaska Department of Fish and Game. Original data were extracted from here http://www.adfg.alaska.gov/index.cfm?adfg=fisheriesboard.past_members. This data was modified by reformatting the columns slightly, including the addition of columns to specify whether or not the member served as the board chair, whether the member is male or female, what region their community is located in, and whether that community is rural or urban. The rural/urban distinction is based on the definition used by the Federal Subsistence Board to determine the subsistence priority. The male/female distinction was inferred from the name of the Board of Fisheries member.","governance featured","Alaska Board of Fisheries Members and Regions","State of Alaska's Salmon and People","Name  Name of Board of Fisheries member Chair  How many times the Board Member served as Board Chair Town  Town where the member lives AppointingGovernor  Governor which appointed the member to the Board of Fisheries TermCommencementDate  Date whhen the member was appointed ServedUntil  Date that the member served until DatesUncertain  Number of dates that are uncertain number SASAP.Region  SASAP region corresponding to the members area RuralUrban  indicates whether the community the board member is from is a rural or urban (U) community: R = rural, U = urban Gender  Gender of Board of Fisheries member, inferred from name of member"
"doi:10.5063/F1G15Z4D","The data available in this package are estimates of Chinook salmon spawning escapement at Copper River in Alaska, obtained from the following publication: 'Savereide, J. W., M. Tyers, and S. J. Fleischman. Run Reconstruction, Spawner-Recruit Analysis, and Escapement Goal Recommendation for Chinook Salmon in the Copper River. Alaska Department of Fish and Game, Fishery Manuscript Series No. 18-XX, Anchorage.' Contained are three data tables: (i) ""Copper.Chinook.Harvest.etc.1977.to.2016.xlsx"" is a spreadsheet that details estimated annual Chinook salmon totals during 1975-2016. This speadsheet is also available as in csv format, (ii) ""escapement_copper-river_chinook_1975-2016_excel-sheet-1.csv"". Annual escapement estimates are extracted from this table and written to (iii) ""escapement_copper-river_chinook_1999-2016_standardized.csv"" in a standardized format.","escapement","Estimated annual Chinook Salmon escapement at Copper River from 1980 to 2016","State of Alaska's Salmon and People","location  Location of sample SASAP.region  SASAP region name sampleYear  Year of observation species  Species observed cumulativeCount  Estimated cumulative spawning escapement for year dimensionless Year Year The year the data was sampled Copper_District_Commercial_Harvest Copper District, Commercial Harvest Copper District, Commercial Harvest dimensionless Copper_District_Subsistence_Harvest Copper District, Subsistence Harvest Copper District, Subsistence Harvest dimensionless Copper_District_Homepack_Harvest Copper District, Homepack Harvest Copper District, Homepack Harvest dimensionless Copper_District_Donated_Harvest Copper District, Donated Harvest Copper District, Donated Harvest dimensionless Copper_District_Educational_Harvest Copper District, Educational Harvest Copper District, Educational Harvest dimensionless Copper_District_District_Total_Harvest Copper District, Total Harvest Copper District, Total Harvest. The sum of commercial, subsistence, homepack, donated, and educational harvest for Copper District. dimensionless Chitina_Subdistrict_Harvest_State Chitina Subdistrict, State Harvest Chitina Subdistrict, State Harvest dimensionless Chitina_Subdistrict_Harvest_Federal Chitina Subdistrict, Federal Harvest Chitina Subdistrict, Federal Harvest dimensionless Chitina_Subdistrict_Harvest_Total Chitina Subdistrict, Total Harvest Chitina Subdistrict, Total Harvest. The sum of state and federal harvest for Chitina Subdistrict. dimensionless Chitina_Subdistrict_Harvest_SE Chitina Subdistrict, Harvest Standard Error Chitina Subdistrict, Harvest Standard Error dimensionless Chitina_Subdistrict_Harvest_CV Chitina Subdistrict, Harvest Coefficient of Variation Chitina Subdistrict, Harvest Coefficient of Variation. Calculated by dividing the Standard Error by the Total Harvest. dimensionless Glennallen_Subdistrict_Harvest_State Glennallen Subdistrict, State Harvest Glennallen Subdistrict, State Harvest dimensionless Glennallen_Subdistrict_Harvest_Federal Glennallen Subdistrict, Federal Harvest Glennallen Subdistrict, Federal Harvest dimensionless Glennallen_Subdistrict_Harvest_Total Glennallen Subdistrict, Total Harvest Glennallen Subdistrict, Total Harvest. The sum of state and federal harvest for Glennallen Subdistrict. dimensionless Glennallen_Subdistrict_Harvest_SE Glennallen Subdistrict, Harvest Standard Error Glennallen Subdistrict, Harvest Standard Error dimensionless Glennallen_Subdistrict_Harvest_CV Glennallen Subdistrict, Harvest Coefficient of Variation Glennallen Subdistrict, Harvest Coefficient of Variation. Calculated by dividing the Standard Error by the Total Harvest. dimensionless Sport_Harvest Sport Harvest Sport Harvest dimensionless Sport_SE Sport Standard Error Sport Standard Error dimensionless Sport_CV Sport Coefficient of Variation Sport Coefficient of Variation.  Calculated by dividing the Standard Error by the Total Harvest. dimensionless Inriver_Harvest Inriver Harvest Total Inriver Harvest. The sum of Total Harvest for Chitina Subdistrict, Glennallen Subdistrict, and Sport Harvest. dimensionless Total_Harvest Total Harvest Total Harvest. The sum of Inriver Harvest and Copper District Total Harvest. dimensionless Inriver_Abundance Inriver Abundance Inriver Abundance dimensionless Inriver_SE Inriver Standard Error Inriver Standard Error dimensionless Inriver_LCI Inriver Lower Confidence Interval Inriver 95% Lower Confidence Interval dimensionless Inriver_UCI Inriver Upper Confidence Interval Inriver 95% Upper Confidence Interval dimensionless Inriver_CV Inriver Coefficient of Variation Inriver Coefficient of Variation.  Calculated by dividing the Standard Error by the Total Inriver Abundance. dimensionless Total_Run Total Run Total Run. The sum of Total Harvest and Total Escapement. dimensionless Harvest_Rate Harvest Rate Harvest Rate. Total Harvest divided by Total Run. dimensionless Total_Escapement Total Escapement The cumulative total escapement estimate of chinook salmon in Copper River. Abundance minus Inriver Harvest. dimensionless"
"doi:10.5063/F16H4FQS","There is a high level of diversity of connectedness among Alaskan communities. Unlike the contiguous United States, a substantial number of Alaskan communities are not on the road system. When examining demographic, economic, or other sociocultural trends in Alaskan communities, knowing whether the community is on the road or ferry system is an important factor to consider. This dataset indicates whether communities in Alaska are accessible by the Alaska Marine Highway (ferry) and if they are connected by part of a major road system during the year 2016. Road connection was established by determining whether a community was part of a major road system, allowing surface transportation to other communities, the Canadian road system, and the roads in the lower 48. The data was collected by the Division of Community and Regional Affairs Research and Analysis division within the State of Alaska Department of Commerce, Community, and Economic Development. Data were extracted in June, 2018, from the Community Database Online community report (https://www.commerce.alaska.gov/dcra/DCRAExternal/Query?reportType=communityReport).","places featured well being","Community Database Online, Road and Ferry Connectivity of Alaska Communities","State of Alaska's Salmon and People","Community.Name Community Name Name of the community State.Ferry Community State Ferry Access Whether community is accessible by the Alaska Marine Highway (state ferry) system. Road.Connection Community Road Connection A community connected by part of a major road system, allowing surface transportation to other communities, the Canadian road system and the roads in the lower 48."
"doi:10.5063/F1S75DNC","Subsistence uses of wild resources are defined as 'noncommercial, customary and traditional uses' for a variety of purposes. 
These include: direct personal or family consumption as food, shelter, fuel, clothing, tools, or transportation, for the making and selling of handicraft
articles out of nonedible by-products of fish and wildlife resources taken for personal or family consumption, and for the customary trade, barter, or 
sharing for personal or family consumption. Under subsistence statute in Alaska, the Alaska Board of Fisheries must identify fish stocks that support
subsistence fisheries and, if there is a harvestable surplus of these stocks, adopt regulations that provide reasonable opportunities for these subsistence 
uses to take place. Whenever it is necessary to restrict harvests, subsistence fisheries have a preference over other uses of the stock. Subsistence fishing 
and subsistence hunting are important for the economies and cultures of many families and communities in Alaska. Subsistence uses of wild resources exist
alongside other important uses of fish and game in Alaska and are especially important for most rural families, who depend on subsistence hunting and fishing
as sources of nutrition and cultural practices. An estimated 36.9 million pounds of wild foods are harvested annually by rural subsistence users. Residents 
of more populated urban areas harvest about 13.4 million pounds of wild food under subsistence, personal use, and sport regulations. Harvest and community 
information is given here. Harvest information includes participation in subsistence activities as well as estimates of community, household, and per capita 
harvest of many different resource categories. Community information includes geographic and population information, and overall community harvest information.
These data are also available and updated at https://www.adfg.alaska.gov/sb/CSIS/. The version archived here was extracted on 8/14/2017. This dataset includes the
extracted file, in addition to 19 figures created by Alaska Department of Game, Subsistence Division analysts that show regional trends in subsistence harvest.","harvest subsistence and personal use fishing featured well being","Subsistence harvest information by region, community, resource, and year, 1964-2015","State of Alaska's Salmon and People","Project_Name  Project Name Baseline  1 if data for that year is considered to be comprehensive, 0 if not Community_Name  Name of the community Resource  Name of the resource being harvested Community_Code  Code for the community Year  Year of the survey Project_ID  ID of the project Resource_Code  Code for the resource Species_List  Code for primary species or summary/detail rows (1 is primary, 2 is summary/detail) Trying  Amount attempting to harvest dimensionless Harvesting  Percent harvested dimensionless Used  Percent used dimensionless Giving  Percent given away dimensionless Receiving  Percent received dimensionless Units  Units of measurement Number_Harvested  How many individuals were harvested number Conversion_Factor  What is the conversion factor of the harvest number Total_Lbs_Harvested  Total number of pounds harvested pound Avg_Lbs_Harvested  Average number of pounds harvested pound X_Total_Number  Whole number harvested pound Number_Lower  Lower estimate of harvest (harvest amounts are inexact) number Number_Upper  Upper estimate of harvest (harvest amounts are inexact) number X_Total_Lbs  Whole number of pounds harvested pound Lbs_Lower  Lower estimate of harvest in pounds (harvest amounts are inexact) pound Lbs_Upper  Upper estimate of harvest in pounds (harvest amounts are inexact) pound Per_Capita  Pounds harvested per capita pound Pm_95_Pct  95 percent confidence limit of mean use in pounds pound Community_Population  How many individuals are in the community number Community_Households  How many households are in the community number Region  Region of the harvest Road  Does the community have roads or not"
"doi:10.5063/F11R6NSS","Age, sex and length data provide population dynamics information that can indicate how populations trends occur and may be changing. These data can help researchers estimate population growth rates, age-class distribution and population demographics. Knowing population demographics, growth rates and trends is particularly valuable to fisheries managers who must perform population assessments to inform management decisions. These data are therefore particularly important in valuable fisheries like the salmon fisheries of Alaska. This dataset includes age, sex and length data compiled from annual sampling of commercial and subsistence salmon harvests and research projects in the Upper Cook Inlet. It includes data on five salmon species: chinook, chum, coho, pink and sockeye. Age estimates were made by examining scales or bony structures (e.g. otoliths - ear bones). Scales were removed from the side of the fish; usually the left side above the lateral line. Scales or bony structures were then mounted on gummed cards and pressed on acetate to make an impression. The number of freshwater and saltwater annuli (i.e. rings) was counted to estimate age in years. Age is recorded in European Notation, which is a method of recording both fresh and saltwater annuli. For example, for a fish that spent one year in freshwater and 3 years in saltwater, its age is recorded as 1.3. The total fish age is the sum of the first and second numbers, plus one to account for the time between deposition and emergence. Therefore the fish in this example is 5 years old. Fish sex was determined by either examining external morphology (eg. head and belly shape) or internal sex organ. Length was measured in millimeters, generally from mid-eye to the fork of the tail. This dataset includes samples of Chinook salmon from 4 major rivers in Southeast Alaska: the Chilkat River, Stikine River, Taku River, and Unuk River. One original file is included for each river, in addition to a reformatting script, and a reformatted merged file (ASL_formatted_SoutheastSupplement.csv).","age, sex, length","Chinook salmon age, sex, and length data from major rivers in Southeast Alaska, 1988-2017","State of Alaska's Salmon and People","sampleDate  date of sample sampleYear  year of sample Location  name of sampling location Species  species sampled Sex  sex of sampled fish Length  length of sampled fish in millimeters millimeter cardNo  card number where sample was recorded fishNum  fish number on card where sample was recorded SASAP.Region  SASAP region where fish was sampled District  commercial fishing district fish was sampled in Sub.District  commercial fishing sub-district fish was sampled in ASLProjectType  project type sample came from Fresh.Water.Age  number of years fish spent in fresh water before migrating to sea nominalYear Salt.Water.Age  number of years fish spent in the ocean before returning to spawn nominalYear subSystem  sub-location where fish was sampled Source  source of data"
"doi:10.5063/F1HT2MMN","The Federal Subsistence Board (FSB) is the decision-making body that oversees the Federal Subsistence Management Program. 
Board members include the regional directors of the U.S. Fish and Wildlife Service, National Park Service, Bureau of Land Management, Bureau of Indian Affairs, 
the U.S. Forest Service, in addition to three public members appointed by the Secretaries of the Interior and Agriculture. Two of these public members represent
rural subsistence users and one is the Federal Subsistence Board chairman. The Federal Subsistence Board has been delegated the authority to manage fish and wildlife
for subsistence uses on federal public lands and waters in Alaska. Subsistence users can submit proposals to change existing Federal subsistence regulations for the
taking of fish and shellfish on Federal public lands in Alaska. The board incorporates input from Regional Advisory Councils (RACs), the Office of Subsistence 
Management (OSM), the Alaska Department of Fish and Game (ADFG), and public comments, into the decision of whether to carry or fail a proposal. Once the Board makes
its decisions, it will publish the changes as final regulations for that cycle of regulatory years and distribute the regulation book throughout Alaska.  This dataset summarizes proposal information taken from proposal results logs, FSB meeting books, and meeting transcripts. Data are presented
in tabular format for easier digestion of some basic aspects of the proposals (who proposed it, a short description, whether it passed, who supported it, what
region/species are affected, etc.) More details on the coding process are found in the included pdf document. Additionally, an R markdown document is included
which generates a number of relevant figures, some of which are also included as standalone objects in this data packave.","governance featured","Alaska Federal Subsistence Board Proposals 2000-2015","State of Alaska's Salmon and People","Flag  Flag with comments regarding coding of proposal information Meeting_Date  Dates over which meeting occurred Area  Subsistence Management Area Proposal_Num  Unique proposal identifier. Typically in format FP (Fisheries Proposal) YY-XX, example FP 15-01, where the year is the year during which the meeting happened Category  Category of proposal Regulatory_Proposal  Short description of proposal content Species  Species of concern in proposal Proposed_By  Proponent of the proposal. Format for multiple proponents in the FSB Coding Database is: Proponent1, Proponent2, Proponent3 Proponent_Type  Characterization of proponents listed in ""Proposed By"" Sex  Sex of proponent, if individual Members_in_Favor  Number of board members voting in favor of Accepting/Carrying proposal. Numerical value between 0 and 8 number Members_Against  Number of board members voting against Accepting/Carrying proposal. Numerical value between 0 and 8 number Action  Action taken by the board on a proposal Additional_Action  Additional information on proposals where no action was taken Members_Absent  Name of board members absent from meeting Members_Abstain  Name of board members abstaining from vote Consent_Agenda  Whether a proposal is on the consent agenda OSM_Rec  Office of Subsistence Management recommendation for a proposal RAC_Support  List of RACs supporting the proposal RAC_Oppose  List of RACs opposing the proposal RAC_Support_w_mod  List of RACs supporting the proposal RAC_Take_No_Action  List of RACs advocating for taking no action on a given proposal RAC_Other_Defer  List of RACs advocating for an action that is not Support, Support w/mod, Oppose, or take no action. Example: defer Support_Staff_Rec  List of RACs that support the staff recommendation ADFG_Rec  Alaska Department of Fish and Game recommendation for a proposal Public_Comments_For  Number of public comments supporting a proposal number Public_Comments_Against  Number of public comments opposing a proposal number Public_Comments_For_w_Mod  Number of public comments supporting a proposal w/ Modification number"
"doi:10.5063/F1D21VW7","Every three years, the Alaska Board of Fish (Board) calls for regional fisheries management proposals, inviting the public to 
directly participate in fisheries governance. Anyone can submit a proposal and provide written or oral testimony on any of the proposals, which constitute
potential regulatory changes and are accessible in an online proposal book. Proposals are logged by Board staff and recorded in the meeting documents, which
are stored online and archived at the State, Library, Archives, and Museum (SLAM) in Juneau. Each proposal contains valuable information about stakeholder 
demographics, affiliations, interests, and positions on allocation disputes. This dataset contains proposals related to salmon fisheries over the entire state 
from 2000-2017. This dataset is derived from Meagan Krupa and Molly Cunfer. 2017. Alaska Board of Fish Proposals 1959-2016. Knowledge Network for Biocomplexity.
doi:10.5063/F1G73BVP. The data here use the same coding techniques to transform the information in proposal books and vote logs into tabular format, 
with the exception of the added ""Category"" column. This information is added to this dataset to glean information on the types of ideas proposed to 
the Board of Fisheries. Also included in this dataset are a number of relevant figures, as well as the script (R Markdown file) that generated them.","governance featured","Salmon Proposals to the Alaska Board of Fisheries, 2000-2017","State of Alaska's Salmon and People","Date  start date of Board of Fisheries meeting Year  year of Board of Fisheries meeting Area  area of Alaska (SASAP Region) which proposal applies to Meeting  name of Board of Fisheries meeting Species  designation of species group (eg salmonids) that proposal applies to Sector  sector (commercial, sport fish, personal use, subsistence) that the proposal applies to Proposal..  proposal identifier, unique to within a single meeting Statute_Num  number of statute in Alaska Administrative Code that is proposed to be changed Statute.Title  name of statute in Alaska Administrative Code that is proposed to be changed Category  category assigned to proposal. See methods and coding rubric for details Regulatory.Proposal  short proposal description Action  action taken on proposal Action.2  additional information on action if proposal. If a proposal was carried with amendment, the record copy (RC) number is indicated by RC#. If a proposal had no action because there was a similar proposal, the number of the proposal is indicated by P#. Other codes are LOA (lack of authority), W (withdrawn), EXREG (existing regulation) Proposed.By  name of the individual or entity who authored the proposal Group  the group in which the proposal author is categorized Sex  Presumed gender of the author or authors based on first name, if the author is an individual or set of individuals (as opposed to an organization). BOF.Members.in.Favor  number of Board of Fisheries members in favor of carrying the proposal number BOF.Members.Against  number of Board of Fisheries members opposed to carrying the proposal number BOF.Absent  list of Board members absent BOF.Abstained  list of Board members abstaining ADFG.Position  Position of Alaska Department of Fish and Game"
"doi:10.5063/F189144V","The Commercial Fisheries Entry Commision (CFEC) is an independent, autonomous agency of the State of Alaska which regulates entry 
into Alaska's commercial fisheries. The CFEC is committed to promoting conservation and sustained-yield management of Alaska's unique fishery resources and boosting 
economic stability among fishermen and their dependents. To ensure effective management of commercial fisheries, all vessels used for commercial fishing or related
activities must be licensed by the CFEC. This includes fishing vessels, tenders, packers, processors, transporter vessels, and seine skiffs. The CFEC is responsible
for leasing all commercial fishing permits including permits for limited-entry fisheries. Limited-entry fisheries include all state salmon fisheries, most herring
fisheries, and various other fisheries. This dataset represents the number of salmon fishery permits that were renewed - specifically, number of permit holders by community of residence.
This dataset includes all permits, limited entry and interim, for Alaska residents. Non-residents that renewed their permit with an out-of-state address are not included.
The source of this permit information is various forms collected by CFEC including permit application, transfer requests, and address change forms. This dataset also includes
a set of maps showing the percent change in permits from the number of initial issues. These maps were created using the included R markdown document in conjunction with code from Jeanette Clark, Rachel Carlson, and Jared Kibele. 
General mapping functions for data associated with the State of Alaska's Salmon and People (SASAP) project, 2019. Knowledge Network for Biocomplexity. doi:10.5063/F1MP51JD. Also included are
a set of figures displaying time-series information of permit holdings at a regional level.","commercial fishing featured sociocultural well being","Commercial Fisheries Entry Commision CFEC Public Permit Holders by Community of Residence 1975-2016","State of Alaska's Salmon and People","YEAR  Year permit was issued Y_CNAREA  Corresponding census area CITY  City of permit holder A_RESID  Residency of permit holder. local  Whether permit holder is local. Y_Rural  Whether community is rural (R) or urban (U). P_FSHY  Permit code P_TYPE  Type of permit Permit_Count  Number of permits issued number Fishery  Commercial Fisheries Entry Commission commercial fishery code Gear  Primary gear type of fishery Permit_Description  A description of the permit including Target fish, Gear, Location Target_Fish  Target species or clade of fishery Location  Location of fishery"
