"identifier","entityName","attributeName","attributeLabel","attributeDefinition","attributeUnit","propertyURI","valueURI","viewURL","query_datetime_utc"
"doi:10.5063/F14B2ZMJ","2_ESCAPEMENT_DATA.txt","SPECIES",NA,"Common name of fish counted.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","2_ESCAPEMENT_DATA.txt","COUNT",NA,"Number of fish counted.","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","2_ESCAPEMENT_DATA.txt","CONDITION",NA,"Live or dead when counted.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","2_ESCAPEMENT_DATA.txt","LATITUDE",NA,"Decimal degree latitude of the observation.","degree",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","2_ESCAPEMENT_DATA.txt","LONGITUDE",NA,"Decimal degree longitude of the observation.","degree",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","2_ESCAPEMENT_DATA.txt","POSITION",NA,"Identifies spatial accuracy of latitude and longitude data. General = Exact location not know; coordinates represent midpoint of stream section fish were observed. GPS = This count was entered into a GPS enabled recorder at this specific location",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","2_ESCAPEMENT_DATA.txt","DATA_EDIT_COMMENT",NA,"A comment entered about the data after the survey to capture changes made or unique information that may be useful",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","3_REPORTED_ESCAPEMENT.txt","ID",NA,"Auto number record ID",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","3_REPORTED_ESCAPEMENT.txt","YEAR",NA,"The year in which the escapement occurred.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","3_REPORTED_ESCAPEMENT.txt","STOCK",NA,"General identifier of which major stream, or group of nearby streams, the fish are associated with; escapement is calculated by stock rather than individual streams/tributaries comprising the stock complex.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","3_REPORTED_ESCAPEMENT.txt","SPECIES",NA,"Common name of fish counted.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","3_REPORTED_ESCAPEMENT.txt","REPORTED_ESCAPEMENT",NA,"Escapement value published in the Annual Management Report (AMR) for the year the surveys occurred. Synonymous with Official Escapement unless a correction was made retrospectively.","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","3_REPORTED_ESCAPEMENT.txt","OFFICIAL_ESCAPEMENT",NA,"By Stock, the current best estimate of the number of fish to have escaped. If different from ""Reported Escapement"" a correction was made either to an error, or a retrospective analysis based on new information produced revised escapement values.","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","3_REPORTED_ESCAPEMENT.txt","SURVEY_TYPE",NA,"Method used to make observations, e.g., foot survey, aerial survey, weir, video, ...",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","3_REPORTED_ESCAPEMENT.txt","METHOD",NA,"The method used to calculate the official escapement value from the available escapement data collected that year (e.g., area under the curve [AUC], peak count, accumulative count, AUC+BCLS [Bay count last survey]).",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","3_REPORTED_ESCAPEMENT.txt","STREAM_LIFE",NA,"Represents the average number of days a salmon is alive in fresh water once it returns to spawn as an adult.  This is a key parameter used in an Area Under The Curve (AUC) calculation to estimate final escapement from periodic survey counts.","nominalDay",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","3_REPORTED_ESCAPEMENT.txt","START_DATE",NA,"The date representing the beginning of the run for a given stock and year.  Key parameter used in pre-2000 Area Under The Curve (AUC) calculations where the user had to define the start/end dates of the run for the AUC model.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","3_REPORTED_ESCAPEMENT.txt","END_DATE",NA,"The date representing the end of the run for a given stock and year.  Key parameter used in pre-2000 Area Under The Curve (AUC) calculations where the user had to define the start/end dates of the run for the AUC model.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","3_REPORTED_ESCAPEMENT.txt","RT_EXPANSION",NA,"Run time expansion factor used to expand AUC indices when surveys ended prior to the end of the run.  The value represents the % of the run in the river on date of last survey, according to a run-timing curve.","dimensionless",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","3_REPORTED_ESCAPEMENT.txt","NOTES",NA,"Comments regarding the official escapement value and how it was derived.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","4_LUT_STREAM_SECTION_ATTRIBUTES.txt","STREAM_SECTION",NA,"A field that combines the stream name and the section of that stream within which escapement counts were stratified.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","4_LUT_STREAM_SECTION_ATTRIBUTES.txt","DISTRICT",NA,"One of the four districts in the Lower Cook Inlet Management Area (LCIMA) that contain salmon stocks and commercial salmon fisheries (salmon do not occur in the Barren Islands District).",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","4_LUT_STREAM_SECTION_ATTRIBUTES.txt","INDEX_AREA",NA,"A geographical area (finer scale than District) that contains one or more LCIMA index streams.  This field was primarily used when hard copy survey maps were used to record counts during surveys.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","4_LUT_STREAM_SECTION_ATTRIBUTES.txt","SECTION",NA,"Standardized general location within the stream where the fish were counted (e.g., Bay, Lagoon, Intertidal, Stream, Lake)",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","4_LUT_STREAM_SECTION_ATTRIBUTES.txt","STOCK",NA,"General identifier of which major stream, or group of nearby streams, the fish are associated with; escapement is calculated by stock rather than individual streams/tributaries comprising the stock complex.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","4_LUT_STREAM_SECTION_ATTRIBUTES.txt","STREAM",NA,"Mid level identifier of where fish counts were made. In a simple system stream is the same as stock, but sometimes more than one individual stream or tributary makes up a stock group.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","4_LUT_STREAM_SECTION_ATTRIBUTES.txt","ABBREVIATED_NAME",NA,"A four character code that approximates a Stock's abbreviated name. Used primarily in file naming.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","4_LUT_STREAM_SECTION_ATTRIBUTES.txt","CURRENT_2018_DIST_SUBD",NA,"The 2018 LCIMA District-Subdistrict where the stream occurs.  Subdistrict boundaries and names/codes can change over time.  The value listed here was the name/code current in 2018.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","4_LUT_STREAM_SECTION_ATTRIBUTES.txt","CF_S_CODE",NA,"Commercial Fisheries Stream Code. A four digit numeric code used historically to identify individual streams in Lower Cook Inlet.  Not used any longer, but retained for cross referencing to current stream names.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","4_LUT_STREAM_SECTION_ATTRIBUTES.txt","AWSC_CODE",NA,"A unique numerical code assigned to all streams, tributaries, and lakes that are documented to support anadromous species and are officially accepted into the State of Alaska's Anadromous Waters Stream Catalog.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","4_LUT_STREAM_SECTION_ATTRIBUTES.txt","DIST_CF_CD",NA,"A combination of the LCIMA district-subdistrict code and the Commercial Fisheries Stream Code.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","4_LUT_STREAM_SECTION_ATTRIBUTES.txt","IT_DEFINED",NA,"Documents how the boundary of the intertidal (IT) zone of the stream was defined.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","4_LUT_STREAM_SECTION_ATTRIBUTES.txt","AMA",NA,"AMA=Active Management Area, which is a defined (usually in regulation) area that has a specific management purpose (e.g., hatchery Special Harvest Area)",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","4_LUT_STREAM_SECTION_ATTRIBUTES.txt","COMMENTS",NA,"General comments associated with stream section attributes",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","5_LUT_SECTION.txt","ID",NA,"Auto number record ID",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","5_LUT_SECTION.txt","SECTION",NA,"Water body section name",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","5_LUT_SECTION.txt","DESCRIPTION",NA,"Water body section description",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","6_LUT_SPECIES.txt","ID",NA,"Auto number record ID",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","6_LUT_SPECIES.txt","SPECIES",NA,"Commonly used name of fish being counted.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","6_LUT_SPECIES.txt","SCIENTIFIC_NAME",NA,"Scientific name of fish being counted.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","6_LUT_SPECIES.txt","NOTES",NA,"Notes about the name of the fish being counted.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","7_LUT_SURVEY_RATING.txt","ID",NA,"Auto number record ID",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","7_LUT_SURVEY_RATING.txt","SURVEY_RATING",NA,"A numerical rating of the survey conditions.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","7_LUT_SURVEY_RATING.txt","DESCRIPTION",NA,"A description of the numerical rating of the survey",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","7_LUT_SURVEY_RATING.txt","GENERAL_CONDITIONS",NA,"General conditions observed during  the survey.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","7_LUT_SURVEY_RATING.txt","WATER_CONDITIONS",NA,"Water conditions observed during the survey.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Year",NA,"Year",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","ADFG.Number",NA,"Alaska department of fish and game number",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Year.Built",NA,"Year the vessel was built",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Length",NA,"Length of the vessel","foot",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Gross.Tons",NA,"Weight of the vessel","ton",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Net.Tons",NA,"Weight of the vessel","ton",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Horse.Power",NA,"Horse power of the vessel","footPound",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Hold.Tank.Capacity",NA,"Capacity of the vessel holding tank","gallon",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Live.Tank.Capacity",NA,"Live tank capacity of the vessels","gallon",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Fuel.Capacity",NA,"Fuel capacity of the vessels","gallon",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Home.Port.City",NA,"Home port city of the vessel",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Home.Port.State",NA,"Home port state of the vessel",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Coast.Guard..",NA,"Coast gaurd id",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Vessel.Name",NA,"Name of the vessel",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Owner.Name",NA,"Name of the owner",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Name.Type",NA,"Is C if the owner name is a company, blank if not",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","Phone",NA,"Phone number",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
"doi:10.5063/F14F1P2Q","CFECFisheryStatsVesselData1978to2017.csv","File.Number",NA,"File number",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14F1P2Q",2020-10-08 14:24:41
